Requirement_ID,Category,Requirement,Implementation,Verification_Evidence,Status,Evidence_Boundary
P31-OBJ-001,Objective,"Provide a reproducible baseline/challenger model-evaluation mechanism without historical data or action authority.","src/adf_poc/phase31/; scripts/run_phase31_model_benchmark.py","tests/test_phase31_model_evaluation.py; synthetic benchmark","Implemented; local observation","Synthetic mechanism only; no operational model result"
P31-CON-001,Contract,"Validate a closed Phase 3.1 plan and aggregate result schema with strict finite JSON.","contracts/v0.3.1/model-evaluation-plan.schema.json; contracts/v0.3.1/model-evaluation-result.schema.json; src/adf_poc/phase31/contracts.py","tests/test_phase31_model_evaluation.py","Implemented; local observation","Schema conformance does not establish data authority or model validity"
P31-DAT-001,Data,"Bind the four permitted synthetic source pools by repository-relative path, SHA-256 and record count.","config/phase31_model_evaluation_plan.json; src/adf_poc/phase31/contracts.py","test_source_bindings_reject_digest_drift","Implemented; local observation","No historical/live input path exists"
P31-SPL-001,Evaluation,"Create case-disjoint training, calibration and evaluation partitions ordered by opened_at without splitting equal timestamps.","src/adf_poc/phase31/benchmark.py","test_temporal_partitions_are_disjoint_and_ordered","Implemented; local observation","Synthetic chronology only; not an operational temporal holdout"
P31-MOD-001,Model,"Fit an interpretable logistic baseline on training rows only.","src/adf_poc/model.py; src/adf_poc/phase31/benchmark.py","test_benchmark_is_deterministic_and_schema_validated","Implemented; local observation","Generator-family model; no operational discrimination claim"
P31-CAL-001,Model,"Fit a deterministic Platt calibration challenger on calibration scores and labels only.","src/adf_poc/phase31/calibration.py; src/adf_poc/phase31/benchmark.py","test_challenger_observation_does_not_claim_superiority; test_calibrator_rejects_invalid_values","Implemented; local observation","Calibration-mechanism test only; not an EBM/GBDT or promoted candidate"
P31-MET-001,Metrics,"Report discrimination, calibration, threshold, Wilson-interval and selective-risk metrics.","src/adf_poc/phase31/metrics.py","test_metrics_cover_discrimination_calibration_error_and_abstention","Implemented; local observation","No inferential or practical-significance claim from synthetic rows"
P31-STR-001,Metrics,"Report metrics by scenario, asset-criticality band and privilege level.","src/adf_poc/phase31/benchmark.py","test_benchmark_is_deterministic_and_schema_validated","Implemented; local observation","Synthetic diagnostic strata only"
P31-GOV-001,Governance,"Refuse model promotion until accountable owners approve thresholds and a separate Gate B package authorizes historical evaluation.","config/phase31_model_evaluation_plan.json; docs/phase31/","test_plan_is_synthetic_only_and_cannot_promote; test_plan_rejects_historical_mode_and_promotion_thresholds","Implemented; local observation","Current promotion decision is always NOT_AUTHORIZED"
P31-SAF-001,Safety,"Expose no historical adapter, live connector, action credential, authorization, broker or target dependency in the Phase 3.1 package.","src/adf_poc/phase31/; scripts/run_phase31_model_benchmark.py","test_phase31_has_no_action_or_historical_adapter_import; result safety boundary","Implemented; local observation","Application import/construction boundary only; not OS sandboxing"
P31-REP-001,Reproducibility,"Produce byte-stable aggregate results from the same plan and bound source bytes and refuse output overwrite.","src/adf_poc/phase31/benchmark.py; scripts/run_phase31_model_benchmark.py","test_benchmark_is_deterministic_and_schema_validated; test_cli_validates_executes_and_refuses_overwrite","Implemented; local observation","Python/numpy implementation reproducibility; cross-platform byte identity not claimed"
P31-REG-001,Regression,"Preserve all published Phase 1-3 behavior while adding the Phase 3.1 mechanism.","additive src/adf_poc/phase31 package","11/11 focused Phase 3.1 tests; 299/299 complete repository suite; exact Commit bb6b8f28; CI Python 3.11/3.12 and Dependency Graph passed","Published implementation evidence","Published code baseline has no Phase 3.1 tag or GitHub Release and does not establish operational effectiveness"
